Panelist ID,Panelist Type,Combined Pre-Tax Income of HH,Family Size,HH_RACE,Type of Residential Possession,COUNTY,HH_AGE,HH_EDU,HH_OCC,Age Group Applied to Male HH,Education Level Reached by Male HH,Occupation Code of Male HH,Male Working Hour Code,MALE_SMOKE,Age Group Applied to Female HH,Education Level Reached by Female HH,Occupation Code of Female HH,Female Working Hour Code,FEM_SMOKE,Number of Dogs,Number of Cats,Children Group Code,Marital Status,Language,Number of TVs Used by HH,Number of TVs Hooked to Cable,Year,HISP_FLAG,HISP_CAT,HH Head Race (RACE2),HH Head Race (RACE3),Microwave Owned by HH,ZIPCODE,FIPSCODE,market based upon zipcode,IRI Geography Number,EXT_FACT
1100016,6,3,3,1,2,,,,,6,2,10,4,,6,3,10,4,,0,0,8,2,,3,3,1,,,,,,,,,,
1100032,0,5,2,1,2,,,,,7,9,11,5,,5,7,6,3,,0,2,3,1,,,,1,,,,,,,,,,
1100057,0,8,2,1,2,,,,,6,5,10,4,,6,6,4,3,,1,0,8,2,,,,1,,,,,,,,,,
1100156,6,7,2,1,2,,,,,6,4,10,4,,6,4,10,4,,0,0,8,2,,1,1,1,,,,,,,,,,
1100164,0,10,2,1,2,,,,,6,5,1,3,,6,4,4,3,,1,0,8,2,,,,1,,,,,,,,,,
1100180,6,11,2,1,2,,,,,5,5,7,3,,5,5,1,3,,1,1,8,2,,2,2,1,,,,,,,,,,
1100198,0,5,2,1,2,,,,,6,5,10,4,,6,6,13,1,,0,1,8,2,,,,1,,,,,,,,,,
1100206,6,12,4,1,2,,,,,3,4,6,3,,3,4,13,1,,3,0,4,2,,3,1,1,,,,,,,,,,
1100214,0,7,1,1,2,,,,,7,9,11,5,,5,5,4,3,,1,2,8,3,,,,1,,,,,,,,,,
1100222,0,1,1,1,2,,,,,7,9,11,5,,6,4,10,4,,0,1,8,3,,,,1,,,,,,,,,,
1100248,6,1,1,1,2,,,,,7,9,11,5,,6,4,13,1,,0,0,8,4,,2,2,1,,,,,,,,,,
1100255,0,3,1,1,2,,,,,7,9,11,5,,6,4,13,1,,0,0,8,4,,,,1,,,,,,,,,,
1100321,0,3,1,1,2,,,,,7,9,11,5,,6,3,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1100347,0,1,1,1,1,,,,,7,9,11,5,,6,1,13,1,,0,0,8,4,,,,1,,,,,,,,,,
1100354,0,9,2,1,2,,,,,6,7,1,2,,5,6,13,1,,0,0,8,2,,,,1,,,,,,,,,,
1100362,0,4,1,1,1,,,,,7,9,11,5,,6,6,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1100404,0,11,2,1,2,,,,,6,7,10,4,,6,6,13,1,,0,0,8,2,,,,1,,,,,,,,,,
1100412,0,2,1,1,2,,,,,7,9,11,5,,6,4,10,4,,0,0,8,4,,,,1,,,,,,,,,,
1100420,6,4,1,1,1,,,,,7,9,11,5,,6,6,10,4,,1,0,8,3,,1,2,1,,,,,,,,,,
1100479,0,5,2,1,2,,,,,6,5,10,4,,6,6,10,4,,1,0,8,2,,,,1,,,,,,,,,,
1100503,6,6,2,1,2,,,,,6,6,10,4,,6,4,10,4,,0,0,8,2,,5,5,1,,,,,,,,,,
1100545,0,10,4,1,2,,,,,5,3,2,3,,5,4,2,3,,0,0,8,2,,,,1,,,,,,,,,,
1100560,0,8,2,5,2,,,,,5,7,7,3,,5,6,9,2,,0,1,8,2,,,,1,,,,,,,,,,
1100628,6,6,2,1,1,,,,,6,4,10,4,,6,4,4,3,,1,1,8,2,,2,2,1,,,,,,,,,,
1100644,0,0,1,0,0,,,,,0,0,0,0,,7,9,11,5,,0,0,8,0,,,,1,,,,,,,,,,
1100669,0,0,1,0,0,,,,,0,0,0,0,,7,9,11,5,,0,0,8,0,,,,1,,,,,,,,,,
1100685,0,11,2,1,2,,,,,5,6,10,4,,5,6,1,3,,0,0,8,2,,,,1,,,,,,,,,,
1100727,0,0,0,0,0,,,,,7,9,11,5,,7,9,11,5,,0,0,0,0,,,,1,,,,,,,,,,
1100743,0,11,2,1,2,,,,,5,6,7,3,,5,6,4,3,,0,0,8,2,,,,1,,,,,,,,,,
1100750,0,5,2,1,2,,,,,6,6,10,4,,5,6,10,4,,0,2,8,2,,,,1,,,,,,,,,,
1100784,0,1,1,3,1,,,,,7,9,11,5,,5,6,13,1,,0,0,8,3,,,,1,,,,,,,,,,
