PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1145441	1144	1	DR	1.99	8046669	13500055905
1145441	1144	1	DR	1.99	8046669	13500055905
1145599	1134	1	DR	2.99	8046669	13500055905
1145599	1134	1	DR	0.6	8046669	13500055905
1145599	1144	1	DR	1.99	8046669	13500055905
1217059	1153	1	DR	2.99	8046669	13500055905
1131268	1144	1	DR	1.99	8003043	13500055910
1144923	1119	4	DR	1.96	8003043	13500055910
1189696	1144	3	DR	5.97	8003043	13500055910
1189696	1152	1	DR	2.99	8003043	13500055910
1309815	1155	5	DR	12.45	8003043	13500055910
1200436	1148	1	DR	1.79	8003059	13500055910
1145599	1144	1	DR	1.99	8046669	13500055910
1183095	1144	2	DR	4.48	8046669	13500055910
1201616	1153	1	DR	2.99	8046669	13500055910
1401554	1144	1	DR	1.99	8046669	13500055910
1401554	1144	1	DR	1.99	8046669	13500055910
3133462	1128	1	DR	2.99	651444	13500055910
3327015	1144	1	DR	1.99	651444	13500055910
1809798	1118	1	DR	2.49	642166	13500055910
1204461	1118	1	DR	2.49	8003042	13500055910
1201103	1165	3	DR	8.97	8000583	13500055910
3377614	1144	1	DR	2.24	1091828	13500055910
1206342	1154	1	DR	2.99	8003043	13500055911
1313346	1148	2	DR	3.58	8003043	13500055911
1147611	1144	1	DR	1.99	8046669	13500055911
1311852	1118	1	DR	2.49	650679	13500055911
1311852	1118	1	DR	2.49	650679	13500055911
1201103	1165	1	DR	2.99	8000583	13500055911
1114413	1143	1	DR	1.79	8003043	13500057900
1189696	1120	4	DR	3.96	8003043	13500057900
1219154	1128	1	DR	0.99	8003043	13500057900
1219154	1128	1	DR	0.99	8003043	13500057900
1800060	1128	1	DR	0.99	8003043	13500057900
1226704	1143	1	DR	1.79	8003059	13500057900
1305581	1144	2	DR	3.58	8003059	13500057900
1129791	1164	1	DR	1.8	8046669	13500057900
1192500	1146	2	DR	3.58	8046669	13500057900
1193011	1121	1	DR	0.99	8046669	13500057900
1230177	1116	1	DR	0.99	8046669	13500057900
1230177	1116	1	DR	0.99	8046669	13500057900
1800250	1144	1	DR	1.79	8046669	13500057900
3315820	1127	1	DR	1.99	651444	13500057900
3395616	1118	1	DR	1.99	651444	13500057900
1313403	1123	1	DR	0.99	642166	13500057900
1405415	1120	2	DR	3.98	8000583	13500057900
1405415	1120	2	DR	3.98	8000583	13500057900
1189696	1143	1	DR	1.99	8003043	13500058401
1401422	1128	1	DR	2.99	8000583	13500058401
1208009	1155	1	DR	3.79	8003043	13500068602
1222786	1155	2	DR	7.58	8003043	13500068602
1230011	1158	1	DR	2.49	8003043	13500068602
3309443	1150	1	DR	0.49	651444	13500068602
3800391	1131	1	DR	3.29	651444	13500068602
1142596	1132	1	DR	2.49	650679	13500068602
1107367	1130	1	DR	2.49	8046669	13500068603
1303776	1158	1	DR	2.49	8046669	13500068603
1303776	1158	1	DR	2.49	8046669	13500068603
3130781	1130	1	DR	0.57	651444	13500068603
3322578	1150	1	DR	2.99	651444	13500068603
3356279	1130	2	DR	1.14	651444	13500068603
