PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1309765	1164	1	GR	2.99	213290	11111311410
1800136	1163	1	GR	2.99	213290	11111311410
1801332	1149	2	GR	5.98	213290	11111311410
1131219	1149	1	GR	2.99	648764	11111311410
1140707	1142	2	GR	5.98	648764	11111311410
1141135	1116	1	GR	2.99	648764	11111311410
1150433	1147	1	GR	2.99	648764	11111311410
1195339	1142	1	GR	2.99	648764	11111311410
1223958	1146	1	GR	2.99	648764	11111311410
1403576	1163	1	GR	3.29	648764	11111311410
1403576	1163	1	GR	3.29	648764	11111311410
1809137	1163	1	GR	3.29	648764	11111311410
1809137	1163	1	GR	3.29	648764	11111311410
1191429	1136	1	GR	3.29	248128	11111311410
1214692	1126	1	GR	3.29	248128	11111311410
3401653	1115	1	GR	2.67	233779	11111311410
3333922	1123	1	GR	2.67	653776	11111311410
3136291	1145	1	GR	2.99	264075	11111311420
3396135	1157	1	GR	2.99	264075	11111311420
3115600	1157	1	GR	2.67	653776	11111311420
3116517	1127	1	GR	2.67	653776	11111311420
1103101	1142	2	GR	5.98	213290	11111311430
1103101	1160	1	GR	2.99	213290	11111311430
1103101	1161	1	GR	2.99	213290	11111311430
1107235	1149	3	GR	8.97	213290	11111311430
1112656	1149	2	GR	5.98	213290	11111311430
1112656	1149	2	GR	5.98	213290	11111311430
1114967	1125	1	GR	2.99	213290	11111311430
1116533	1163	1	GR	2.99	213290	11111311430
1116533	1163	1	GR	2.99	213290	11111311430
1132563	1134	1	GR	2.99	213290	11111311430
1133637	1149	2	GR	5.98	213290	11111311430
1139709	1139	1	GR	2.99	213290	11111311430
1143677	1163	1	GR	2.99	213290	11111311430
1143677	1163	1	GR	2.99	213290	11111311430
1145052	1142	2	GR	5.98	213290	11111311430
1145706	1163	1	GR	2.99	213290	11111311430
1145854	1141	1	GR	2.99	213290	11111311430
1147835	1141	6	GR	17.94	213290	11111311430
1147835	1141	1	GR	2.99	213290	11111311430
1147835	1141	1	GR	2.99	213290	11111311430
1147835	1141	1	GR	2.99	213290	11111311430
1147835	1141	1	GR	2.99	213290	11111311430
1147835	1141	1	GR	2.99	213290	11111311430
1147835	1141	1	GR	2.99	213290	11111311430
1147835	1141	1	GR	2.99	213290	11111311430
1183095	1163	1	GR	2.99	213290	11111311430
1183095	1163	1	GR	2.99	213290	11111311430
1183095	1163	1	GR	2.99	213290	11111311430
1183095	1163	1	GR	2.99	213290	11111311430
1193516	1142	2	GR	5.98	213290	11111311430
1194605	1139	1	GR	2.99	213290	11111311430
1197392	1164	1	GR	2.99	213290	11111311430
1205732	1160	1	GR	2.99	213290	11111311430
1213884	1149	2	GR	5.98	213290	11111311430
1224725	1144	1	GR	2.99	213290	11111311430
1226365	1163	1	GR	2.99	213290	11111311430
1226704	1163	1	GR	2.99	213290	11111311430
1226704	1163	1	GR	2.99	213290	11111311430
1306233	1164	1	GR	2.99	213290	11111311430
1306233	1164	1	GR	2.99	213290	11111311430
1307421	1125	2	GR	5.98	213290	11111311430
1307421	1149	2	GR	5.98	213290	11111311430
1307868	1143	4	GR	11.96	213290	11111311430
1309765	1159	1	GR	2.99	213290	11111311430
1313452	1163	1	GR	2.99	213290	11111311430
1317628	1148	1	GR	2.99	213290	11111311430
1400093	1149	2	GR	5.98	213290	11111311430
1800136	1163	1	GR	2.99	213290	11111311430
1802124	1148	2	GR	5.98	213290	11111311430
1809525	1165	1	GR	2.99	213290	11111311430
1812917	1142	2	GR	5.98	213290	11111311430
1116699	1163	1	GR	3.29	648764	11111311430
1116699	1163	1	GR	3.29	648764	11111311430
1116699	1163	1	GR	3.29	648764	11111311430
1116699	1163	1	GR	3.29	648764	11111311430
1127282	1142	2	GR	5.98	648764	11111311430
1180372	1163	1	GR	3.29	648764	11111311430
1180372	1163	1	GR	3.29	648764	11111311430
1198523	1164	1	GR	3.29	648764	11111311430
1208538	1127	1	GR	2.99	648764	11111311430
1304964	1116	1	GR	2.99	648764	11111311430
1304964	1165	3	GR	9.87	648764	11111311430
1809137	1163	2	GR	6.58	648764	11111311430
1214692	1158	1	GR	2.99	652159	11111311430
3129130	1158	2	GR	7.18	228037	11111311430
3121954	1143	2	GR	5.98	264075	11111311430
3134056	1158	1	GR	2.67	653776	11111311430
1103101	1149	2	GR	5.98	213290	11111311440
1103101	1163	2	GR	5.98	213290	11111311440
1103101	1163	2	GR	5.98	213290	11111311440
1108308	1116	1	GR	2.99	213290	11111311440
1108878	1136	1	GR	2.99	213290	11111311440
1126763	1163	1	GR	2.99	213290	11111311440
1126763	1163	1	GR	2.99	213290	11111311440
1131219	1149	2	GR	5.98	213290	11111311440
1132233	1163	2	GR	5.98	213290	11111311440
1132233	1163	4	GR	11.96	213290	11111311440
1132233	1163	1	GR	2.99	213290	11111311440
1132233	1163	1	GR	2.99	213290	11111311440
1146506	1163	2	GR	5.98	213290	11111311440
1148775	1163	1	GR	2.99	213290	11111311440
1191528	1163	1	GR	2.99	213290	11111311440
1191528	1163	1	GR	2.99	213290	11111311440
1193003	1163	1	GR	2.99	213290	11111311440
1199919	1149	1	GR	2.99	213290	11111311440
1242826	1154	1	GR	2.99	213290	11111311440
1313452	1163	1	GR	2.99	213290	11111311440
1315986	1149	2	GR	5.98	213290	11111311440
1408161	1125	1	GR	2.99	213290	11111311440
1805960	1144	1	GR	2.99	213290	11111311440
1195339	1142	1	GR	2.99	648764	11111311440
1211185	1149	2	GR	5.98	648764	11111311440
1325753	1141	2	GR	5.98	648764	11111311440
1313965	1161	1	GR	3.29	248128	11111311440
3105098	1128	1	GR	2.67	653776	11111311440
3116517	1127	1	GR	2.67	653776	11111311440
1103101	1151	1	GR	2.99	213290	11111311450
1103101	1161	1	GR	2.99	213290	11111311450
1145706	1163	1	GR	2.99	213290	11111311450
1147835	1141	1	GR	2.99	213290	11111311450
1147835	1149	1	GR	2.99	213290	11111311450
1147835	1149	1	GR	2.99	213290	11111311450
1148775	1135	1	GR	2.99	213290	11111311450
1193003	1163	1	GR	2.99	213290	11111311450
1219774	1163	1	GR	2.99	213290	11111311450
1220541	1163	2	GR	5.98	213290	11111311450
1220541	1163	1	GR	2.99	213290	11111311450
1220541	1163	1	GR	2.99	213290	11111311450
1307678	1150	1	GR	2.99	213290	11111311450
1310961	1161	1	GR	2.99	213290	11111311450
1315374	1163	1	GR	2.99	213290	11111311450
1315374	1163	1	GR	2.99	213290	11111311450
1402040	1157	2	GR	5.98	213290	11111311450
1812230	1157	1	GR	2.99	213290	11111311450
1814863	1163	1	GR	2.99	213290	11111311450
1814863	1163	1	GR	2.99	213290	11111311450
1131219	1149	1	GR	2.99	648764	11111311450
1188235	1163	1	GR	3.29	648764	11111311450
1188235	1163	1	GR	3.29	648764	11111311450
1244947	1164	1	GR	3.29	648764	11111311450
1303537	1142	2	GR	5.98	648764	11111311450
1317875	1163	1	GR	3.29	648764	11111311450
1317875	1163	1	GR	3.29	648764	11111311450
1118356	1147	1	GR	2.99	652159	11111311450
1126268	1125	1	GR	2.99	652159	11111311450
1137182	1142	1	GR	2.99	652159	11111311450
1140699	1163	1	GR	2.99	652159	11111311450
1147314	1156	1	GR	2.99	652159	11111311450
1147843	1158	2	GR	5.98	652159	11111311450
1185595	1153	1	GR	2.99	652159	11111311450
1198127	1163	1	GR	2.99	652159	11111311450
1201160	1163	1	GR	2.99	652159	11111311450
1201160	1164	1	GR	2.99	652159	11111311450
1201988	1164	1	GR	2.99	652159	11111311450
1214692	1158	1	GR	2.99	652159	11111311450
1244517	1163	1	GR	2.99	652159	11111311450
1313346	1124	1	GR	2.99	652159	11111311450
1316240	1163	1	GR	2.99	652159	11111311450
1406231	1164	1	GR	2.99	652159	11111311450
1406231	1164	1	GR	2.99	652159	11111311450
1407999	1164	3	GR	8.97	652159	11111311450
1807578	1164	1	GR	2.99	652159	11111311450
1809632	1164	1	GR	2.99	652159	11111311450
1815530	1137	1	GR	2.99	652159	11111311450
3371203	1151	1	GR	3.09	257006	11111311450
3398057	1155	1	GR	2.99	264075	11111311450
3805465	1125	1	GR	2.67	233779	11111311450
3128199	1160	1	GR	2.67	653776	11111311450
1138644	1163	1	GR	3.98	652159	11111329370
1196642	1155	1	GR	3.98	652159	11111329370
1212563	1164	2	GR	7.96	652159	11111329370
1305375	1159	1	GR	3.98	652159	11111329370
1403428	1165	1	GR	3.98	652159	11111329370
3107649	1125	1	GR	2.67	653776	11111350120
1139725	1128	1	GR	2.99	213290	11111364750
1139725	1128	1	GR	2.99	213290	11111364750
1303537	1125	1	GR	2.99	648764	11111364750
1100560	1163	1	GR	2.99	234140	11111364750
1205732	1165	1	GR	2.99	234140	11111364750
1205732	1165	1	GR	2.99	234140	11111364750
1100560	1163	1	GR	2.99	652159	11111364750
1100560	1163	1	GR	2.99	652159	11111364750
1100560	1164	1	GR	2.99	652159	11111364750
1103440	1165	1	GR	2.99	652159	11111364750
1126482	1164	1	GR	2.99	652159	11111364750
1126482	1164	1	GR	2.99	652159	11111364750
1133108	1163	2	GR	5.98	652159	11111364750
1147330	1159	1	GR	2.99	652159	11111364750
1189233	1164	2	GR	5.98	652159	11111364750
1200121	1163	1	GR	2.99	652159	11111364750
1202275	1135	1	GR	2.99	652159	11111364750
1214981	1121	1	GR	2.99	652159	11111364750
1305862	1162	1	GR	2.99	652159	11111364750
1309492	1137	2	GR	5.98	652159	11111364750
1401539	1115	2	GR	5.98	652159	11111364750
